Валандово,41.35 22.7,2009-06-02 17:55:29,2.7,ML,10.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=129506,2009-07-14 14:42:35.695258,Normal,
Дојран,41.28 22.68,2009-05-27 00:50:55,2.8,ML,2.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=128884,2009-07-14 14:42:33.776909,Normal,
Дојран,41.28 22.71,2009-06-04 10:22:12,2.7,ML,2.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=129628,2009-07-14 14:42:35.695440,Normal,
Пехчево,41.8 22.9,2009-06-05 19:25:35,2.1,ML,10.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=129823,2009-07-14 14:42:35.695634,Normal,
Дојран,41.26 22.68,2009-06-06 21:40:34,3.5,M,2.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=129861,2009-07-14 14:42:35.695813,Normal,
Дојран,41.29 22.69,2009-06-07 08:37:36,2.7,ML,2.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=129955,2009-07-14 14:42:35.695995,Normal,
Дојран,41.28 22.71,2009-06-08 03:19:24,3.7,ML,2.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=130019,2009-07-14 14:42:35.696172,Normal,
Валандово,41.3 22.7,2009-06-08 03:28:45,2.1,ML,10.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=130035,2009-07-14 14:42:35.696351,Normal,
Дојран,41.25 22.73,2009-06-08 20:59:48,2.5,M,10.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=130089,2009-07-14 14:42:35.696544,Normal,
Дојран,41.27 22.69,2009-06-06 21:40:35,4.0,ML,2.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=129861,2009-07-14 14:42:34.417900,Normal,
Дојран,41.29 22.7,2009-06-08 20:59:49,3.4,ML,2.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=130089,2009-07-14 14:42:35.696723,Normal,
Битола,41.04 21.42,2009-07-17 15:23:04,3.0,ML,5.0,http://theact1v8.org,2009-07-17 15:32:34.712672,Normal,ај нешто со јуникод
Скопје =),42.1 22.1,2009-07-25 13:40:55,3.0,ML,10.0,http://theact1v8.org,2009-07-25 13:40:55,Special,Whatever
Скопје,42.16 22.66,1963-07-26 04:17:00,6.9,ML,6.0,http://en.wikipedia.org/wiki/1963_Skopje_earthquake,2009-07-25 14:14:26,Special,"времетраење: 20 s
загинати: над 1,000
повредени: над 3,000
уништување: 75% до 80% од Градот
<a href='http://www.youtube.com/watch?v=esOIrcy5A7E'>видео</a>"
Валандово,41.3 22.7,2009-06-06 22:45:34,2.9,ML,2.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=129895,2009-07-14 14:42:34.418079,Normal,
Дојран,41.25 22.71,2009-06-06 22:45:36,3.6,ML,10.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=129895,2009-07-14 14:42:34.418259,Normal,
